gameDate,player1Odds,player2Odds,playersNames,score,tournamentName
12 May 2019,2.54,2.54,White I. - Wright P.,8:7,European Tour 6 Results & Historical Odds
12 May 2019,2.62,1.49,Hughes J. - Wright P.,1:7,European Tour 6 Results & Historical Odds
12 May 2019,1.50,1.50,White I. - Beaton S.,7:5,European Tour 6 Results & Historical Odds
12 May 2019,4.12,4.12,Wright P. - van Gerwen M.,6:3,European Tour 6 Results & Historical Odds
12 May 2019,1.59,2.34,Aspinall N. - Hughes J.,5:6,European Tour 6 Results & Historical Odds
12 May 2019,1.74,1.74,Beaton S. - Webster D.,6:2,European Tour 6 Results & Historical Odds
12 May 2019,1.89,1.89,White I. - de Zwaan J.,6:1,European Tour 6 Results & Historical Odds
12 May 2019,1.08,1.08,van Gerwen M. - Richardson J.,6:1,European Tour 6 Results & Historical Odds
12 May 2019,1.51,1.51,Wright P. - Clayton J.,6:4,European Tour 6 Results & Historical Odds
12 May 2019,1.49,1.49,Hughes J. - McGeeney M.,6:4,European Tour 6 Results & Historical Odds
12 May 2019,1.70,2.11,Gurney D. - Aspinall N.,4:6,European Tour 6 Results & Historical Odds
12 May 2019,1.31,3.35,Price G. - Webster D.,4:6,European Tour 6 Results & Historical Odds
12 May 2019,1.74,1.74,Beaton S. - Searle R.,6:4,European Tour 6 Results & Historical Odds
12 May 2019,2.09,2.09,de Zwaan J. - Smith M.,6:4,European Tour 6 Results & Historical Odds
12 May 2019,1.50,1.50,White I. - Brown K.,6:3,European Tour 6 Results & Historical Odds
11 May 2019,1.09,1.09,Wright P. - Zonneveld N.,6:4,European Tour 6 Results & Historical Odds
11 May 2019,1.08,1.08,van Gerwen M. - Dolan B.,6:5,European Tour 6 Results & Historical Odds
11 May 2019,2.36,1.58,Hopp M. - Aspinall N.,3:6,European Tour 6 Results & Historical Odds
11 May 2019,1.72,2.08,Lewis A. - Hughes J.,3:6,European Tour 6 Results & Historical Odds
11 May 2019,1.49,2.57,Suljovic M. - Beaton S.,5:6,European Tour 6 Results & Historical Odds
11 May 2019,1.52,1.52,Gurney D. - Dobey Ch.,6:5,European Tour 6 Results & Historical Odds
11 May 2019,2.21,2.21,Webster D. - Van der Voort V.,6:5,European Tour 6 Results & Historical Odds
11 May 2019,-,,Wade J. - Searle R. ,w.o.,European Tour 6 Results & Historical Odds
11 May 2019,1.51,2.52,Cross R. - de Zwaan J.,3:6,European Tour 6 Results & Historical Odds
11 May 2019,1.21,1.21,Price G. - Carlin G.,6:1,European Tour 6 Results & Historical Odds
11 May 2019,1.65,1.65,White I. - van den Bergh D.,6:5,European Tour 6 Results & Historical Odds
11 May 2019,1.82,1.96,Evans R. - Brown K.,2:6,European Tour 6 Results & Historical Odds
11 May 2019,1.61,2.26,King M. - Richardson J.,3:6,European Tour 6 Results & Historical Odds
11 May 2019,1.66,1.66,Clayton J. - Smith R.,6:4,European Tour 6 Results & Historical Odds
11 May 2019,1.67,2.16,Cullen J. - McGeeney M.,5:6,European Tour 6 Results & Historical Odds
11 May 2019,1.55,1.55,Smith M. - Ratajski K.,6:4,European Tour 6 Results & Historical Odds
10 May 2019,2.69,2.69,Searle R. - Durrant G.,6:4,European Tour 6 Results & Historical Odds
10 May 2019,9.77,1.05,Pietreczko R. - Hughes J.,1:6,European Tour 6 Results & Historical Odds
10 May 2019,1.91,1.91,Beaton S. - Bunting S.,6:4,European Tour 6 Results & Historical Odds
10 May 2019,7.29,1.08,Klose D. - Brown K.,3:6,European Tour 6 Results & Historical Odds
10 May 2019,10.60,1.04,Bellmont S. - de Zwaan J.,2:6,European Tour 6 Results & Historical Odds
10 May 2019,2.19,1.66,Horvat D. - Carlin G.,3:6,European Tour 6 Results & Historical Odds
10 May 2019,1.45,1.45,Dobey Ch. - Razma M.,6:0,European Tour 6 Results & Historical Odds
10 May 2019,1.37,1.37,Van der Voort V. - Prins D.,6:4,European Tour 6 Results & Historical Odds
10 May 2019,3.71,1.27,Rasztovits M. - van den Bergh D.,1:6,European Tour 6 Results & Historical Odds
10 May 2019,1.25,1.25,Dolan B. - Rosenauer M.,6:2,European Tour 6 Results & Historical Odds
26 May 2019,1.15,5.40,van Gerwen M. - White I.,7:8,European Tour 7 Results & Historical Odds
10 May 2019,1.90,1.90,McGeeney M. - Payne J.,6:3,European Tour 6 Results & Historical Odds
26 May 2019,2.14,2.14,White I. - Wright P.,7:3,European Tour 7 Results & Historical Odds
10 May 2019,4.03,1.23,Viljanen K. - Aspinall N.,1:6,European Tour 6 Results & Historical Odds
26 May 2019,1.22,1.22,van Gerwen M. - Price G.,7:6,European Tour 7 Results & Historical Odds
26 May 2019,1.44,1.44,Wright P. - King M.,6:4,European Tour 7 Results & Historical Odds
10 May 2019,1.44,1.44,Zonneveld N. - Hurtz M.,6:4,European Tour 6 Results & Historical Odds
10 May 2019,3.54,1.29,Owen R. - Ratajski K.,4:6,European Tour 6 Results & Historical Odds
26 May 2019,1.54,1.54,White I. - Van der Voort V.,6:3,European Tour 7 Results & Historical Odds
26 May 2019,1.88,1.89,Durrant G. - Price G.,3:6,European Tour 7 Results & Historical Odds
10 May 2019,2.01,1.77,Edgar M. - Richardson J.,3:6,European Tour 6 Results & Historical Odds
10 May 2019,6.08,1.11,Ljubic P. - Smith R.,3:6,European Tour 6 Results & Historical Odds
26 May 2019,1.18,1.18,van Gerwen M. - Chisnall D.,6:4,European Tour 7 Results & Historical Odds
26 May 2019,1.54,1.54,King M. - Rodriguez Row. J.,6:5,European Tour 7 Results & Historical Odds
26 May 2019,1.39,1.39,Wright P. - Whitlock S.,6:3,European Tour 7 Results & Historical Odds
26 May 2019,2.06,2.06,Van der Voort V. - Hopp M.,6:4,European Tour 7 Results & Historical Odds
26 May 2019,1.52,1.52,White I. - Wattimena J.,6:2,European Tour 7 Results & Historical Odds
28 Apr 2019,5.15,1.17,White I. - van Gerwen M.,3:8,European Tour 4 Results & Historical Odds
26 May 2019,1.41,1.41,Price G. - Dolan B.,6:3,European Tour 7 Results & Historical Odds
26 May 2019,1.16,1.16,Durrant G. - Nilsson D.,6:0,European Tour 7 Results & Historical Odds
28 Apr 2019,4.84,1.18,Chisnall D. - van Gerwen M.,6:7,European Tour 4 Results & Historical Odds
28 Apr 2019,1.40,2.94,Cross R. - White I.,5:7,European Tour 4 Results & Historical Odds
26 May 2019,1.52,1.52,Chisnall D. - Evans R.,6:5,European Tour 7 Results & Historical Odds
26 May 2019,1.14,1.14,van Gerwen M. - van Barneveld R.,6:5,European Tour 7 Results & Historical Odds
28 Apr 2019,5.05,1.16,Aspinall N. - van Gerwen M.,5:6,European Tour 4 Results & Historical Odds
28 Apr 2019,2.06,2.06,Chisnall D. - Suljovic M.,6:5,European Tour 4 Results & Historical Odds
25 May 2019,1.45,2.68,Suljovic M. - Van der Voort V.,3:6,European Tour 7 Results & Historical Odds
28 Apr 2019,1.80,1.99,Lewis A. - White I.,5:6,European Tour 4 Results & Historical Odds
28 Apr 2019,2.54,1.50,Price G. - Cross R.,5:6,European Tour 4 Results & Historical Odds
25 May 2019,1.19,1.19,Wright P. - Edhouse R.,6:4,European Tour 7 Results & Historical Odds
25 May 2019,1.39,2.91,Smith M. - van Barneveld R.,3:6,European Tour 7 Results & Historical Odds
28 Apr 2019,1.13,1.13,van Gerwen M. - van Barneveld R.,6:5,European Tour 4 Results & Historical Odds
28 Apr 2019,1.56,2.38,Wade J. - Aspinall N.,2:6,European Tour 4 Results & Historical Odds
25 May 2019,1.39,2.90,Gurney D. - King M.,1:6,European Tour 7 Results & Historical Odds
25 May 2019,1.08,1.08,van Gerwen M. - O'Connor W.,6:2,European Tour 7 Results & Historical Odds
28 Apr 2019,1.90,1.90,Suljovic M. - Gurney D.,6:3,European Tour 4 Results & Historical Odds
28 Apr 2019,1.73,2.07,Wright P. - Chisnall D.,1:6,European Tour 4 Results & Historical Odds
25 May 2019,1.99,1.79,Cullen J. - Hopp M.,0:6,European Tour 7 Results & Historical Odds
25 May 2019,1.77,,Wade J. - Durrant G.,w.o.,European Tour 7 Results & Historical Odds
28 Apr 2019,1.48,1.48,White I. - Webster D.,6:2,European Tour 4 Results & Historical Odds
28 Apr 2019,1.56,1.56,Lewis A. - Henderson J.,6:3,European Tour 4 Results & Historical Odds
25 May 2019,1.22,1.22,White I. - Mansell M.,6:5,European Tour 7 Results & Historical Odds
25 May 2019,1.51,1.51,Chisnall D. - Beaton S.,6:2,European Tour 7 Results & Historical Odds
28 Apr 2019,1.32,1.32,Cross R. - Cullen J.,6:3,European Tour 4 Results & Historical Odds
28 Apr 2019,1.70,1.70,Price G. - Hughes J.,6:2,European Tour 4 Results & Historical Odds
25 May 2019,1.76,2.04,Webster D. - Rodriguez Row. J.,2:6,European Tour 7 Results & Historical Odds
25 May 2019,1.56,1.56,Price G. - Ratajski K.,6:1,European Tour 7 Results & Historical Odds
27 Apr 2019,1.86,1.91,Wattimena J. - van Barneveld R.,5:6,European Tour 4 Results & Historical Odds
25 May 2019,1.25,3.83,Clayton J. - Nilsson D.,5:6,European Tour 7 Results & Historical Odds
25 May 2019,1.29,1.29,Evans R. - van Trijp D.,6:2,European Tour 7 Results & Historical Odds
27 Apr 2019,1.12,1.12,van Gerwen M. - van den Bergh D.,6:1,European Tour 4 Results & Historical Odds
27 Apr 2019,1.21,1.21,Suljovic M. - Mansell M.,6:5,European Tour 4 Results & Historical Odds
25 May 2019,2.12,2.12,Wattimena J. - Noppert D.,6:4,European Tour 7 Results & Historical Odds
25 May 2019,1.31,1.31,Whitlock S. - Hempel F.,6:3,European Tour 7 Results & Historical Odds
27 Apr 2019,1.87,1.90,Hopp M. - Henderson J.,3:6,European Tour 4 Results & Historical Odds
27 Apr 2019,1.38,1.38,Wright P. - Lennon S.,6:2,European Tour 4 Results & Historical Odds
25 May 2019,1.73,2.06,Bunting S. - Dolan B.,4:6,European Tour 7 Results & Historical Odds
24 May 2019,1.51,1.51,Edhouse R. - Hendriks J.,6:2,European Tour 7 Results & Historical Odds
27 Apr 2019,1.37,1.37,Cross R. - Dobey Ch.,6:4,European Tour 4 Results & Historical Odds
24 May 2019,6.20,1.11,Szekely P. - van Barneveld R.,2:6,European Tour 7 Results & Historical Odds
24 May 2019,2.31,2.31,Hopp M. - Aspinall N.,6:5,European Tour 7 Results & Historical Odds
27 Apr 2019,1.99,1.79,Clayton J. - Aspinall N.,3:6,European Tour 4 Results & Historical Odds
24 May 2019,2.53,1.50,Boulton A. - Van der Voort V.,2:6,European Tour 7 Results & Historical Odds
27 Apr 2019,1.42,1.42,Chisnall D. - Evetts T.,6:3,European Tour 4 Results & Historical Odds
24 May 2019,2.25,1.62,Smith R. - Ratajski K.,3:6,European Tour 7 Results & Historical Odds
24 May 2019,2.30,1.60,Woodhouse L. - King M.,2:6,European Tour 7 Results & Historical Odds
27 Apr 2019,1.40,1.40,Wade J. - Humphries L.,6:5,European Tour 4 Results & Historical Odds
